,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
532,20035,10,14,24,25,28,33,11
533,20034,02,08,15,16,26,32,03
534,20033,07,10,12,21,31,32,01
535,20032,03,11,13,14,15,26,13
536,20031,02,05,09,15,16,27,09
537,20030,17,18,21,29,30,32,03
538,20029,01,12,18,20,30,32,05
539,20028,05,06,15,18,26,32,08
540,20027,12,13,14,24,25,28,06
541,20026,01,04,09,18,19,31,06
542,20025,01,09,10,15,20,29,02
543,20024,10,13,27,28,29,31,08
544,20023,04,05,20,21,30,33,08
545,20022,02,10,20,22,25,30,02
546,20021,02,06,14,16,27,31,07
547,20020,01,06,09,13,15,22,14
548,20019,15,19,27,28,30,33,03
549,20018,05,07,08,11,17,22,13
550,20017,02,04,07,15,20,27,04
551,20016,05,06,08,17,24,27,07
552,20015,08,09,22,24,30,33,01
553,20014,02,07,08,10,12,16,07
554,20013,02,08,10,20,21,30,14
555,20012,04,13,14,23,26,31,09
556,20011,04,05,07,17,18,29,01
557,20010,11,14,22,27,31,32,09
558,20009,03,06,08,14,19,26,12
559,20008,01,04,06,10,11,28,16
560,20007,05,12,17,20,25,31,10
561,20006,03,04,05,10,16,32,09
562,20005,11,16,17,22,26,32,04
563,20004,02,15,17,27,32,33,03
564,20003,09,17,26,29,30,32,03
565,20002,04,09,14,15,16,29,11
566,20001,02,15,23,26,29,30,02
567,19151,02,06,09,18,24,26,14
568,19150,02,09,14,22,27,29,02
569,19149,01,06,27,28,31,33,07
570,19148,09,10,13,20,26,27,08
571,19147,01,09,12,14,23,27,12
572,19146,01,04,10,12,30,32,14
573,19145,01,08,13,17,18,19,16
574,19144,02,12,15,19,27,30,03
575,19143,05,13,15,16,26,32,09
576,19142,08,14,24,27,29,33,09
577,19141,10,13,14,15,17,33,14
578,19140,02,04,09,11,14,22,05
579,19139,08,14,20,23,30,33,11
580,19138,02,06,12,30,31,32,11
581,19137,07,10,13,19,23,31,06
582,19136,12,14,15,17,29,33,12
583,19135,03,06,10,11,27,33,03
584,19134,01,04,06,22,29,30,03
585,19133,03,07,16,21,24,31,07
586,19132,04,06,11,14,19,33,07
587,19131,09,17,19,20,24,31,04
588,19130,01,07,09,11,24,32,16
589,19129,03,04,07,09,15,26,07
590,19128,03,08,12,16,17,19,08
591,19127,02,06,07,12,17,24,10
592,19126,02,14,17,29,32,33,16
593,19125,02,11,12,26,27,29,03
594,19124,04,09,30,31,32,33,01
595,19123,02,06,08,17,28,30,06
596,19122,04,10,15,19,21,23,02
597,19121,02,06,15,21,30,31,02
598,19120,10,12,27,31,32,33,03
599,19119,04,20,22,24,26,33,07
600,19118,12,14,15,25,28,31,04
601,19117,03,05,11,28,32,33,01
602,19116,01,08,09,13,16,33,01
603,19115,04,10,11,14,15,29,05
604,19114,02,04,09,11,12,30,01
605,19113,01,05,19,21,25,33,15
606,19112,03,12,14,17,23,27,01
607,19111,07,18,20,22,24,33,01
608,19110,01,18,22,26,27,28,08
609,19109,03,06,07,17,28,31,10
610,19108,07,13,19,22,25,32,13
611,19107,02,06,08,23,27,32,02
612,19106,02,14,22,27,30,33,14
613,19105,02,13,15,17,26,33,01
614,19104,01,05,16,17,18,24,10
615,19103,04,12,14,21,27,29,12
616,19102,03,08,12,16,20,32,12
617,19101,01,04,09,21,31,33,05
618,19100,01,04,12,13,30,32,08
619,19099,07,14,22,23,27,30,08
620,19098,03,11,12,14,17,26,09
621,19097,03,05,18,24,25,31,09
622,19096,05,07,12,18,27,32,11
623,19095,02,05,14,19,21,28,01
624,19094,05,10,12,18,19,27,06
625,19093,05,07,08,09,20,22,02
626,19092,09,17,27,28,32,33,08
627,19091,07,10,21,24,29,32,11
628,19090,02,03,06,08,14,22,04
629,19089,02,04,14,16,20,22,11
630,19088,13,14,15,21,23,29,13
631,19087,04,05,07,09,21,30,04
632,19086,16,22,24,26,28,31,06
633,19085,01,04,14,18,24,29,04
634,19084,04,08,14,18,20,27,03
635,19083,06,15,17,26,28,31,03
636,19082,07,16,19,22,24,28,02
637,19081,05,24,27,29,31,32,10
638,19080,03,06,08,20,24,32,07
639,19079,01,03,06,09,19,31,16
640,19078,01,17,27,29,31,33,12
641,19077,09,11,13,18,21,22,15
642,19076,12,15,19,20,29,32,14
643,19075,05,08,20,22,31,33,03
644,19074,12,21,27,29,31,33,04
645,19073,01,02,06,12,16,18,08
646,19072,02,09,13,15,22,30,15
